id,key,value,type
46933439,highway,turning_circle,regular
46933550,highway,traffic_signals,regular
46933628,highway,turning_circle,regular
46933860,highway,turning_circle,regular
46933880,highway,turning_circle,regular
46933890,highway,turning_circle,regular
46934410,highway,turning_circle,regular
46934416,highway,turning_circle,regular
46934431,highway,turning_circle,regular
46934464,highway,traffic_signals,regular
46934471,highway,traffic_signals,regular
46934478,bus,yes,regular
46934478,name,Columbia Center Boulevard at The Village at Grandridge Apartments,regular
46934478,public_transport,stop_position,regular
46934492,highway,traffic_signals,regular
46934499,highway,traffic_signals,regular
46934744,highway,turning_circle,regular
46934893,highway,traffic_signals,regular
46935186,bus,yes,regular
46935186,highway,bus_stop,regular
46935186,name,1st & Abby,regular
46935186,public_transport,stop_position,regular
46935405,highway,turning_circle,regular
46935405,source,Bing,regular
46935712,highway,traffic_signals,regular
46935712,traffic_signals,signal,regular
46935780,railway,level_crossing,regular
46935886,highway,traffic_signals,regular
46935905,highway,traffic_signals,regular
46935908,highway,traffic_signals,regular
46935913,highway,traffic_signals,regular
46936374,highway,turning_circle,regular
46936494,highway,turning_circle,regular
46936571,highway,turning_circle,regular
46936651,highway,turning_circle,regular
46936865,highway,turning_circle,regular
46937004,highway,turning_circle,regular
46937004,source,Bing,regular
46937015,highway,turning_circle,regular
46937015,source,Bing,regular
46937295,highway,turning_circle,regular
46937295,source,Bing,regular
46937307,highway,turning_circle,regular
46937345,crossing,marked,regular
46937345,highway,crossing,regular
46937972,railway,level_crossing,regular
46938070,highway,turning_circle,regular
46938529,railway,level_crossing,regular
46938560,noexit,yes,regular
46938823,highway,turning_circle,regular
46938823,source,Bing,regular
46938984,highway,turning_circle,regular
46939003,highway,turning_circle,regular
46939003,source,Bing,regular
46939689,highway,traffic_signals,regular
46939716,highway,traffic_signals,regular
46939795,highway,turning_circle,regular
46939808,highway,traffic_signals,regular
46939865,highway,turning_circle,regular
46940421,highway,traffic_signals,regular
46940421,traffic_signals,signal,regular
46940436,highway,traffic_signals,regular
46940674,highway,turning_circle,regular
46940674,source,Bing,regular
46940794,highway,turning_circle,regular
46941129,highway,motorway_junction,regular
46941129,ref,3A,regular
46941170,highway,traffic_signals,regular
46941198,highway,turning_circle,regular
46941756,highway,traffic_signals,regular
46941756,traffic_signals,signal,regular
46941920,highway,turning_circle,regular
46941929,highway,turning_circle,regular
46942156,highway,turning_circle,regular
46942167,highway,turning_circle,regular
46942167,source,Bing,regular
46942224,highway,turning_circle,regular
46942224,source,Bing,regular
46942234,highway,turning_circle,regular
46942234,source,Bing,regular
46942541,highway,traffic_signals,regular
46942543,highway,traffic_signals,regular
46942543,traffic_signals,signal,regular
46942857,highway,traffic_signals,regular
46942874,highway,traffic_signals,regular
46942878,highway,traffic_signals,regular
46943150,highway,turning_circle,regular
46943212,highway,turning_circle,regular
46943360,highway,turning_circle,regular
46943360,source,Bing,regular
46943384,highway,turning_circle,regular
46943396,highway,turning_circle,regular
46943427,highway,turning_circle,regular
46943454,highway,turning_circle,regular
46943483,highway,turning_circle,regular
46943549,highway,turning_circle,regular
46943560,highway,turning_loop,regular
46943567,highway,turning_loop,regular
46943750,highway,turning_circle,regular
46943991,highway,turning_circle,regular
46944023,highway,turning_circle,regular
46944203,highway,turning_circle,regular
46944215,highway,turning_circle,regular
46944273,highway,turning_loop,regular
46944403,highway,turning_circle,regular
46945041,highway,turning_circle,regular
46945088,highway,turning_circle,regular
46945124,highway,turning_circle,regular
46945144,highway,turning_circle,regular
46945247,highway,turning_circle,regular
46945275,railway,level_crossing,regular
46945368,highway,traffic_signals,regular
46945368,traffic_signals,signal,regular
46945590,highway,turning_circle,regular
46945803,highway,turning_circle,regular
46945828,highway,turning_circle,regular
46946082,highway,turning_circle,regular
46946129,highway,turning_circle,regular
46946151,highway,turning_circle,regular
46946151,source,Bing,regular
46946430,highway,turning_circle,regular
46946430,source,Bing,regular
46946492,highway,turning_circle,regular
46946700,highway,turning_circle,regular
46946726,highway,turning_circle,regular
46946771,highway,turning_circle,regular
46946791,highway,turning_circle,regular
